date,price
2025-12-24,0.475
2025-12-25,0.225
2025-12-26,0.215
2025-12-27,0.225
2025-12-28,0.365
2025-12-29,0.28
2025-12-30,0.265
2025-12-31,0.2
2026-01-01,0.2
2026-01-02,0.205
2026-01-03,0.16
2026-01-04,0.16
2026-01-05,0.15
2026-01-06,0.15
2026-01-07,0.155
2026-01-08,0.15
2026-01-09,0.15
2026-01-10,0.155
2026-01-11,0.15
2026-01-12,0.095
2026-01-13,0.105
2026-01-14,0.095
2026-01-15,0.08
2026-01-16,0.075
2026-01-17,0.075
2026-01-18,0.075
2026-01-19,0.031
2026-01-20,0.035
2026-01-21,0.0315
2026-01-22,0.0305
2026-01-23,0.031
2026-01-24,0.0315
2026-01-25,0.015
2026-01-26,0.0285
2026-01-27,0.031
2026-01-28,0.031
2026-01-29,0.031
2026-01-30,0.036
2026-01-31,0.0375
2026-02-01,0.0375
2026-02-02,0.079
2026-02-03,0.08
2026-02-04,0.0845
2026-02-05,0.083
2026-02-06,0.102
2026-02-07,0.122
2026-02-08,0.1245
2026-02-09,0.1175
2026-02-10,0.127
2026-02-11,0.127
2026-02-12,0.1065
2026-02-13,0.117
2026-02-14,0.0805
2026-02-15,0.07
2026-02-16,0.121
2026-02-17,0.1
2026-02-18,0.066
2026-02-19,0.0635
2026-02-20,0.066
2026-02-21,0.0695
2026-02-22,0.0385
2026-02-23,0.034
2026-02-24,0.06
2026-02-25,0.046
2026-02-26,0.062
2026-02-27,0.048
2026-02-28,0.046
2026-03-02,0.0715
2026-03-03,0.1105
2026-03-04,0.073
2026-03-05,0.0665
2026-03-06,0.0635
2026-03-07,0.1275
2026-03-08,0.0945
2026-03-09,0.096
2026-03-10,0.0905
2026-03-11,0.105
2026-03-12,0.1375
2026-03-14,0.0925
2026-03-17,0.0865
2026-03-18,0.0505
2026-03-20,0.047
2026-03-21,0.069
2026-03-22,0.059
2026-03-23,0.0745
2026-03-24,0.0935
2026-03-25,0.1255
2026-03-26,0.136
2026-03-27,0.104
2026-04-05,0.16
2026-04-09,0.183
2026-04-12,0.2395
2026-04-18,0.1825
2026-04-22,0.132
2026-04-23,0.1365
2026-04-24,0.1625
2026-04-25,0.1405
2026-04-26,0.1415
2026-04-27,0.1205
2026-04-28,0.155
2026-04-29,0.1225
2026-04-30,0.077
