date,price
2025-10-30,0.42
2025-10-31,0.065
2025-11-01,0.04
2025-11-02,0.06
2025-11-03,0.075
2025-11-04,0.06
2025-11-05,0.05
2025-11-06,0.05
2025-11-07,0.05
2025-11-08,0.05
2025-11-09,0.05
2025-11-10,0.065
2025-11-11,0.065
2025-11-12,0.045
2025-11-13,0.045
2025-11-14,0.0305
2025-11-15,0.0275
2025-11-16,0.0205
2025-11-17,0.017
2025-11-18,0.0135
2025-11-19,0.013
2025-11-20,0.014
2025-11-21,0.0275
2025-11-22,0.0335
2025-11-23,0.0315
2025-11-24,0.033
2025-11-25,0.0325
2025-11-26,0.0775
2025-11-27,0.017
2025-11-28,0.02
2025-11-29,0.0235
2025-11-30,0.029
2025-12-01,0.031
2025-12-02,0.031
2025-12-03,0.031
2025-12-04,0.046
2025-12-05,0.0455
2025-12-06,0.041
2025-12-07,0.0405
2025-12-08,0.042
2025-12-09,0.0615
2025-12-10,0.0575
2025-12-11,0.06
2025-12-12,0.0545
2025-12-13,0.055
2025-12-14,0.0645
2025-12-15,0.06
2025-12-16,0.059
2025-12-17,0.057
2025-12-18,0.055
2025-12-19,0.0535
2025-12-20,0.053
2025-12-21,0.07
2025-12-22,0.0695
2025-12-23,0.058
2025-12-24,0.1
2025-12-25,0.089
2025-12-26,0.114
2025-12-27,0.1125
2025-12-28,0.114
2025-12-29,0.1145
2025-12-30,0.1195
2025-12-31,0.1645
2026-01-01,0.1745
2026-01-02,0.1545
2026-01-03,0.174
2026-01-04,0.1675
2026-01-05,0.17
2026-01-06,0.1675
2026-01-07,0.159
2026-01-08,0.159
2026-01-09,0.159
2026-01-10,0.159
2026-01-11,0.181
2026-01-12,0.098
2026-01-13,0.112
2026-01-14,0.1305
2026-01-15,0.128
2026-01-16,0.115
2026-01-17,0.1245
2026-01-18,0.1295
2026-01-19,0.119
2026-01-20,0.116
2026-01-21,0.118
2026-01-22,0.12
2026-01-23,0.1615
2026-01-24,0.1515
2026-01-25,0.1845
2026-01-26,0.152
2026-01-27,0.126
2026-01-28,0.088
2026-01-29,0.1025
2026-01-30,0.1855
2026-01-31,0.1435
2026-02-01,0.1455
2026-02-02,0.1485
2026-02-03,0.155
2026-02-04,0.157
2026-02-05,0.151
2026-02-06,0.1655
2026-02-07,0.241
2026-02-08,0.225
2026-02-09,0.2225
2026-02-10,0.2085
2026-02-11,0.2495
2026-02-12,0.205
2026-02-13,0.1945
2026-02-14,0.2295
2026-02-15,0.2795
2026-02-16,0.277
2026-02-17,0.278
2026-02-18,0.275
2026-02-19,0.238
2026-02-20,0.2905
