date,price
2025-10-30,0.415
2025-10-31,0.185
2025-11-01,0.155
2025-11-02,0.15
2025-11-03,0.155
2025-11-04,0.165
2025-11-05,0.17
2025-11-06,0.17
2025-11-07,0.17
2025-11-08,0.185
2025-11-09,0.225
2025-11-10,0.295
2025-11-11,0.29
2025-11-12,0.145
2025-11-13,0.125
2025-11-14,0.13
2025-11-15,0.125
2025-11-16,0.12
2025-11-17,0.125
2025-11-18,0.125
2025-11-19,0.125
2025-11-20,0.125
2025-11-21,0.12
2025-11-22,0.21
2025-11-23,0.21
2025-11-24,0.205
2025-11-25,0.21
2025-11-26,0.12
2025-11-27,0.115
2025-11-28,0.07
2025-11-29,0.07
2025-11-30,0.08
2025-12-01,0.085
2025-12-02,0.065
2025-12-03,0.065
2025-12-04,0.085
2025-12-05,0.17
2025-12-06,0.175
2025-12-07,0.175
2025-12-08,0.175
2025-12-09,0.175
2025-12-10,0.165
2025-12-11,0.17
2025-12-12,0.17
2025-12-13,0.15
2025-12-14,0.155
2025-12-15,0.155
2025-12-16,0.15
2025-12-17,0.15
2025-12-18,0.15
2025-12-19,0.155
2025-12-20,0.16
2025-12-21,0.185
2025-12-22,0.2
2025-12-23,0.18
2025-12-24,0.2
2025-12-25,0.21
2025-12-26,0.215
2025-12-27,0.205
2025-12-28,0.17
2025-12-29,0.19
2025-12-30,0.18
2025-12-31,0.18
2026-01-01,0.175
2026-01-02,0.195
2026-01-03,0.205
2026-01-04,0.17
2026-01-05,0.175
2026-01-06,0.175
2026-01-07,0.165
2026-01-08,0.16
2026-01-09,0.13
2026-01-10,0.105
2026-01-11,0.13
2026-01-12,0.065
2026-01-13,0.085
2026-01-14,0.12
2026-01-15,0.12
2026-01-16,0.115
2026-01-17,0.135
2026-01-18,0.145
2026-01-19,0.12
2026-01-20,0.105
2026-01-21,0.085
2026-01-22,0.095
2026-01-23,0.125
2026-01-24,0.09
2026-01-25,0.07
2026-01-26,0.1
2026-01-27,0.065
2026-01-28,0.05
2026-01-29,0.0295
2026-01-30,0.0455
2026-01-31,0.049
2026-02-01,0.053
2026-02-02,0.059
2026-02-03,0.061
2026-02-04,0.0785
2026-02-05,0.078
2026-02-06,0.078
2026-02-07,0.098
2026-02-08,0.098
2026-02-09,0.091
2026-02-10,0.116
2026-02-12,0.133
2026-02-13,0.113
2026-02-14,0.139
2026-02-15,0.1295
2026-02-17,0.1405
