date,price
2025-03-05,0.145
2025-03-06,0.17
2025-03-07,0.145
2025-03-08,0.14
2025-03-09,0.05
2025-03-10,0.07
2025-03-11,0.075
2025-03-12,0.075
2025-03-13,0.08
2025-03-14,0.08
2025-03-15,0.075
2025-03-16,0.065
2025-03-17,0.08
2025-03-18,0.105
2025-03-19,0.085
2025-03-20,0.085
2025-03-21,0.075
2025-03-22,0.075
2025-03-23,0.075
2025-03-24,0.065
2025-03-25,0.045
2025-03-26,0.05
2025-03-27,0.055
2025-03-28,0.055
2025-03-29,0.075
2025-03-30,0.115
2025-03-31,0.075
2025-04-01,0.105
2025-04-02,0.12
2025-04-03,0.165
2025-04-04,0.135
2025-04-05,0.11
2025-04-06,0.1
2025-04-07,0.09
2025-04-08,0.085
2025-04-09,0.075
2025-04-10,0.07
2025-04-11,0.055
2025-04-12,0.047
2025-04-13,0.053
2025-04-14,0.0615
2025-04-15,0.069
2025-04-16,0.0775
2025-04-17,0.088
2025-04-18,0.093
2025-04-19,0.1065
2025-04-20,0.1005
2025-04-21,0.0865
2025-04-22,0.086
2025-04-23,0.084
2025-04-24,0.084
2025-04-25,0.1005
2025-04-26,0.1115
2025-04-27,0.103
2025-04-28,0.1055
2025-04-29,0.13
2025-04-30,0.4075
