date,price
2025-04-04,0.655
2025-04-05,0.735
2025-04-06,0.735
2025-04-07,0.64
2025-04-08,0.645
2025-04-09,0.705
2025-04-10,0.605
2025-04-11,0.665
2025-04-12,0.73
2025-04-13,0.7
2025-04-14,0.61
2025-04-15,0.68
2025-04-16,0.63
2025-04-17,0.605
2025-04-18,0.595
2025-04-19,0.595
2025-04-20,0.595
2025-04-21,0.59
2025-04-22,0.58
2025-04-23,0.575
2025-04-24,0.575
2025-04-25,0.575
2025-04-26,0.575
2025-04-27,0.575
2025-04-28,0.575
2025-04-29,0.575
2025-04-30,0.68
2025-05-01,0.535
2025-05-02,0.515
2025-05-03,0.465
2025-05-04,0.31
2025-05-05,0.335
2025-05-06,0.325
2025-05-07,0.205
2025-05-08,0.26
2025-05-09,0.23
2025-05-10,0.23
2025-05-11,0.215
2025-05-12,0.21
2025-05-13,0.16
2025-05-14,0.16
2025-05-15,0.17
2025-05-16,0.165
2025-05-17,0.15
2025-05-18,0.15
2025-05-19,0.14
2025-05-20,0.14
2025-05-21,0.145
2025-05-22,0.15
2025-05-23,0.155
2025-05-24,0.165
2025-05-25,0.16
2025-05-26,0.155
2025-05-27,0.155
2025-05-28,0.155
2025-05-29,0.16
2025-05-30,0.145
2025-05-31,0.095
2025-06-01,0.11
2025-06-02,0.105
2025-06-03,0.085
2025-06-04,0.07
2025-06-05,0.07
2025-06-06,0.075
2025-06-07,0.075
2025-06-08,0.075
2025-06-09,0.075
2025-06-10,0.075
2025-06-11,0.075
2025-06-12,0.055
2025-06-13,0.05
2025-06-14,0.0215
2025-06-15,0.0275
2025-06-16,0.0315
2025-06-17,0.0275
2025-06-18,0.04
2025-06-19,0.0365
2025-06-20,0.0265
2025-06-21,0.029
2025-06-22,0.037
2025-06-23,0.04
2025-06-24,0.034
2025-06-25,0.037
2025-06-26,0.038
2025-06-27,0.047
2025-06-28,0.052
2025-06-29,0.0525
2025-06-30,0.0435
2025-07-01,0.047
2025-07-02,0.035
2025-07-03,0.0455
2025-07-04,0.046
2025-07-05,0.044
2025-07-06,0.044
2025-07-07,0.047
2025-07-08,0.0465
2025-07-09,0.0425
2025-07-10,0.0355
2025-07-11,0.0345
2025-07-12,0.0345
2025-07-13,0.0405
2025-07-14,0.041
2025-07-15,0.0385
2025-07-16,0.0315
2025-07-17,0.0245
2025-07-18,0.0185
2025-07-19,0.0185
2025-07-20,0.0175
2025-07-21,0.0195
2025-07-22,0.019
2025-07-23,0.027
2025-07-24,0.0195
2025-07-25,0.0145
2025-07-26,0.0165
2025-07-27,0.0185
2025-07-28,0.016
2025-07-29,0.0135
2025-07-30,0.0115
