date,price
2025-10-30,0.395
2025-10-31,0.115
2025-11-01,0.115
2025-11-02,0.115
2025-11-03,0.115
2025-11-04,0.115
2025-11-05,0.125
2025-11-06,0.125
2025-11-07,0.115
2025-11-08,0.135
2025-11-09,0.135
2025-11-10,0.175
2025-11-11,0.185
2025-11-12,0.225
2025-11-13,0.22
2025-11-14,0.22
2025-11-15,0.225
2025-11-16,0.23
2025-11-17,0.23
2025-11-18,0.23
2025-11-19,0.215
2025-11-20,0.205
2025-11-21,0.21
2025-11-22,0.195
2025-11-23,0.145
2025-11-24,0.135
2025-11-25,0.135
2025-11-26,0.285
2025-11-27,0.325
2025-11-28,0.37
2025-11-29,0.275
2025-11-30,0.255
2025-12-01,0.255
2025-12-02,0.245
2025-12-03,0.205
2025-12-04,0.2
2025-12-05,0.16
2025-12-06,0.2
2025-12-07,0.205
2025-12-08,0.2
2025-12-09,0.19
2025-12-10,0.195
2025-12-11,0.25
2025-12-12,0.26
2025-12-13,0.26
2025-12-14,0.195
2025-12-15,0.195
2025-12-16,0.19
2025-12-17,0.115
2025-12-18,0.11
2025-12-19,0.115
2025-12-20,0.11
2025-12-21,0.115
2025-12-22,0.115
2025-12-23,0.13
2025-12-24,0.165
2025-12-25,0.135
2025-12-26,0.135
2025-12-27,0.075
2025-12-28,0.08
2025-12-29,0.035
2025-12-30,0.0235
2025-12-31,0.0315
2026-01-01,0.031
2026-01-02,0.03
2026-01-03,0.032
2026-01-04,0.03
2026-01-05,0.025
2026-01-06,0.031
2026-01-07,0.031
2026-01-08,0.01
2026-01-09,0.017
2026-01-10,0.03
2026-01-11,0.0225
2026-01-12,0.023
2026-01-13,0.018
2026-01-14,0.0295
2026-01-15,0.036
2026-01-16,0.037
2026-01-17,0.0385
2026-01-18,0.0275
2026-01-19,0.037
2026-01-20,0.025
2026-01-21,0.0225
2026-01-22,0.0165
2026-01-23,0.028
2026-01-24,0.035
2026-01-25,0.0245
2026-01-26,0.029
2026-01-27,0.025
2026-01-28,0.0185
2026-01-29,0.0255
2026-01-30,0.026
2026-01-31,0.0145
2026-02-01,0.015
2026-02-02,0.014
2026-02-03,0.0245
2026-02-04,0.017
2026-02-05,0.0175
2026-02-06,0.026
2026-02-07,0.018
2026-02-08,0.0185
2026-02-09,0.0175
2026-02-10,0.018
2026-02-11,0.006
2026-02-12,0.0055
2026-02-13,0.008
2026-02-14,0.0165
2026-02-15,0.0175
2026-02-16,0.018
2026-02-17,0.015
2026-02-18,0.0175
2026-02-19,0.004
2026-02-20,0.0175
