date,price
2025-12-24,0.29
2025-12-25,0.245
2025-12-26,0.22
2025-12-27,0.18
2025-12-28,0.11
2025-12-29,0.16
2025-12-30,0.165
2025-12-31,0.17
2026-01-01,0.155
2026-01-02,0.16
2026-01-03,0.18
2026-01-04,0.18
2026-01-05,0.18
2026-01-06,0.185
2026-01-07,0.195
2026-01-08,0.185
2026-01-09,0.185
2026-01-10,0.185
2026-01-11,0.19
2026-01-12,0.145
2026-01-13,0.15
2026-01-14,0.14
2026-01-15,0.105
2026-01-16,0.105
2026-01-17,0.105
2026-01-18,0.105
2026-01-19,0.145
2026-01-20,0.13
2026-01-21,0.13
2026-01-22,0.15
2026-01-23,0.145
2026-01-24,0.145
2026-01-25,0.1
2026-01-26,0.12
2026-01-27,0.115
2026-01-28,0.17
2026-01-29,0.15
2026-01-30,0.165
2026-01-31,0.125
2026-02-01,0.13
2026-02-02,0.15
2026-02-03,0.155
2026-02-04,0.135
2026-02-05,0.155
2026-02-06,0.155
2026-02-07,0.165
2026-02-08,0.165
2026-02-09,0.17
2026-02-10,0.17
2026-02-11,0.17
2026-02-12,0.195
2026-02-13,0.195
2026-02-14,0.125
2026-02-15,0.365
2026-02-16,0.355
2026-02-17,0.38
2026-02-18,0.345
2026-02-19,0.33
2026-02-20,0.195
2026-02-21,0.18
2026-02-22,0.12
2026-02-23,0.13
2026-02-24,0.125
2026-02-25,0.12
2026-02-26,0.13
2026-02-27,0.12
2026-02-28,0.125
2026-03-01,0.12
2026-03-02,0.095
2026-03-03,0.08
2026-03-04,0.11
2026-03-05,0.11
2026-03-06,0.115
2026-03-07,0.135
2026-03-08,0.115
2026-03-09,0.115
2026-03-10,0.09
2026-03-11,0.115
2026-03-12,0.115
2026-03-13,0.165
2026-03-14,0.165
2026-03-15,0.155
2026-03-17,0.175
2026-03-18,0.18
2026-03-20,0.195
2026-03-21,0.21
2026-03-22,0.205
2026-03-23,0.205
2026-03-24,0.18
2026-03-25,0.17
2026-03-26,0.145
2026-03-27,0.18
2026-03-28,0.16
2026-03-29,0.16
2026-03-31,0.205
2026-04-02,0.206
2026-04-09,0.185
2026-04-18,0.2425
2026-04-22,0.2825
2026-04-23,0.285
2026-04-24,0.181
2026-04-25,0.2035
2026-04-26,0.2115
2026-04-27,0.242
2026-04-28,0.2435
2026-04-29,0.2705
2026-04-30,0.272
