date,price
2025-10-30,0.535
2025-10-31,0.165
2025-11-01,0.145
2025-11-02,0.135
2025-11-03,0.135
2025-11-04,0.135
2025-11-05,0.075
2025-11-06,0.075
2025-11-07,0.075
2025-11-08,0.075
2025-11-09,0.075
2025-11-10,0.075
2025-11-11,0.065
2025-11-12,0.06
2025-11-13,0.045
2025-11-14,0.05
2025-11-15,0.04
2025-11-16,0.037
2025-11-17,0.0335
2025-11-18,0.0295
2025-11-19,0.0325
2025-11-20,0.0335
2025-11-21,0.0315
2025-11-22,0.073
2025-11-23,0.095
2025-11-24,0.0955
2025-11-25,0.0745
2025-11-26,0.0625
2025-11-27,0.051
2025-11-28,0.0505
2025-11-29,0.0605
2025-11-30,0.066
2025-12-01,0.0675
2025-12-02,0.068
2025-12-03,0.11
2025-12-04,0.097
2025-12-05,0.1045
2025-12-06,0.1115
2025-12-07,0.1105
2025-12-08,0.112
2025-12-09,0.123
2025-12-10,0.117
2025-12-11,0.1165
2025-12-12,0.1025
2025-12-13,0.104
2025-12-14,0.104
2025-12-15,0.1065
2025-12-16,0.1075
2025-12-17,0.1075
2025-12-18,0.1045
2025-12-19,0.1035
2025-12-20,0.103
2025-12-21,0.1055
2025-12-22,0.108
2025-12-23,0.1075
2025-12-24,0.1125
2025-12-25,0.1335
2025-12-26,0.139
2025-12-27,0.126
2025-12-28,0.1225
2025-12-29,0.126
2025-12-30,0.126
2025-12-31,0.1335
2026-01-01,0.1295
2026-01-02,0.139
2026-01-03,0.153
2026-01-04,0.1525
2026-01-05,0.245
2026-01-06,0.243
2026-01-07,0.2375
2026-01-08,0.261
2026-01-09,0.0595
2026-01-10,0.0835
2026-01-11,0.0965
2026-01-12,0.0965
2026-01-13,0.078
2026-01-14,0.099
2026-01-15,0.092
2026-01-16,0.0955
2026-01-17,0.092
2026-01-18,0.095
2026-01-19,0.09
2026-01-20,0.092
2026-01-21,0.0825
2026-01-22,0.08
2026-01-23,0.08
2026-01-24,0.084
2026-01-25,0.0895
2026-01-26,0.0795
2026-01-27,0.0785
2026-01-28,0.0795
2026-01-29,0.08
2026-01-30,0.08
2026-01-31,0.091
2026-02-01,0.1005
2026-02-02,0.0885
2026-02-03,0.107
2026-02-04,0.1085
2026-02-05,0.103
2026-02-06,0.127
2026-02-07,0.189
2026-02-08,0.174
2026-02-09,0.1555
2026-02-10,0.1805
2026-02-11,0.195
2026-02-12,0.1875
2026-02-13,0.1885
2026-02-14,0.23
2026-02-15,0.226
2026-02-17,0.2085
2026-02-18,0.22
2026-02-20,0.325
