date,price
2025-12-24,0.105
2025-12-25,0.125
2025-12-26,0.095
2025-12-27,0.115
2025-12-28,0.105
2025-12-29,0.1
2025-12-30,0.105
2025-12-31,0.08
2026-01-01,0.065
2026-01-02,0.06
2026-01-03,0.0755
2026-01-04,0.0875
2026-01-05,0.0695
2026-01-06,0.0695
2026-01-07,0.07
2026-01-08,0.075
2026-01-09,0.0695
2026-01-10,0.072
2026-01-11,0.06
2026-01-12,0.046
2026-01-13,0.0615
2026-01-14,0.048
2026-01-15,0.05
2026-01-16,0.0665
2026-01-17,0.0515
2026-01-18,0.051
2026-01-19,0.044
2026-01-20,0.038
2026-01-21,0.0385
2026-01-22,0.044
2026-01-23,0.0435
2026-01-24,0.038
2026-01-25,0.1665
2026-01-26,0.2305
2026-01-27,0.2305
2026-01-28,0.1615
2026-01-29,0.1405
2026-01-30,0.1645
2026-01-31,0.126
2026-02-01,0.1205
2026-02-02,0.1235
2026-02-03,0.1255
2026-02-04,0.132
2026-02-05,0.0825
2026-02-06,0.049
2026-02-07,0.077
2026-02-08,0.059
2026-02-09,0.086
2026-02-10,0.0925
2026-02-11,0.088
2026-02-12,0.089
2026-02-13,0.0865
2026-02-14,0.073
2026-02-15,0.1075
2026-02-16,0.0585
2026-02-17,0.039
2026-02-18,0.056
2026-02-19,0.0435
2026-02-20,0.049
2026-02-21,0.0445
2026-02-22,0.036
2026-02-23,0.0615
2026-02-24,0.069
2026-02-25,0.063
2026-02-26,0.0515
2026-02-27,0.046
2026-02-28,0.0445
2026-03-01,0.047
2026-03-02,0.103
2026-03-03,0.101
2026-03-04,0.1585
2026-03-05,0.157
2026-03-06,0.1585
2026-03-07,0.2695
2026-03-08,0.242
2026-03-09,0.277
2026-03-10,0.218
2026-03-11,0.2175
2026-03-12,0.222
2026-03-13,0.152
2026-03-14,0.1505
2026-03-15,0.094
2026-03-16,0.1095
2026-03-17,0.102
2026-03-18,0.092
2026-03-19,0.0655
2026-03-20,0.073
2026-03-21,0.076
2026-03-22,0.068
2026-03-23,0.0715
2026-03-24,0.07
2026-03-25,0.105
2026-03-26,0.083
2026-03-27,0.084
2026-03-28,0.121
2026-03-29,0.119
2026-04-09,0.112
2026-04-18,0.1155
2026-04-22,0.0575
2026-04-23,0.0615
2026-04-24,0.063
2026-04-25,0.07
2026-04-26,0.077
2026-04-27,0.0705
2026-04-28,0.078
2026-04-29,0.048
2026-04-30,0.0475
