date,price
2025-12-24,0.24
2025-12-25,0.185
2025-12-26,0.18
2025-12-27,0.185
2025-12-28,0.11
2025-12-29,0.135
2025-12-30,0.21
2025-12-31,0.21
2026-01-01,0.2
2026-01-02,0.2
2026-01-03,0.195
2026-01-04,0.15
2026-01-05,0.185
2026-01-06,0.185
2026-01-07,0.3
2026-01-08,0.225
2026-01-09,0.225
2026-01-10,0.225
2026-01-11,0.225
2026-01-12,0.205
2026-01-13,0.205
2026-01-14,0.205
2026-01-15,0.095
2026-01-16,0.115
2026-01-17,0.105
2026-01-18,0.105
2026-01-19,0.055
2026-01-20,0.115
2026-01-21,0.11
2026-01-22,0.11
2026-01-23,0.105
2026-01-24,0.1
2026-01-25,0.045
2026-01-26,0.0305
2026-01-27,0.046
2026-01-28,0.046
2026-01-29,0.046
2026-01-30,0.056
2026-01-31,0.0465
2026-02-01,0.0545
2026-02-02,0.0655
2026-02-03,0.096
2026-02-04,0.1035
2026-02-05,0.095
2026-02-06,0.1375
2026-02-07,0.162
2026-02-08,0.147
2026-02-09,0.172
2026-02-10,0.1585
2026-02-11,0.159
2026-02-12,0.143
2026-02-13,0.159
2026-02-14,0.1105
2026-02-15,0.1895
2026-02-16,0.1185
2026-02-17,0.0585
2026-02-18,0.104
2026-02-19,0.101
2026-02-20,0.1255
2026-02-21,0.092
2026-02-22,0.1125
2026-02-23,0.109
2026-02-24,0.1285
2026-02-25,0.1255
2026-02-26,0.152
2026-02-27,0.151
2026-02-28,0.1435
2026-03-01,0.143
2026-03-02,0.1125
2026-03-03,0.13
2026-03-04,0.126
2026-03-05,0.11
2026-03-06,0.1095
2026-03-07,0.1395
2026-03-08,0.1435
2026-03-09,0.1185
2026-03-10,0.1125
2026-03-11,0.1145
2026-03-12,0.087
2026-03-13,0.0895
2026-03-14,0.124
2026-03-15,0.1505
2026-03-16,0.1505
2026-03-17,0.1795
2026-03-18,0.1905
2026-03-19,0.2155
2026-03-20,0.2315
2026-03-21,0.2335
2026-03-22,0.2225
2026-03-23,0.223
2026-03-24,0.23
2026-03-25,0.1895
2026-03-26,0.179
2026-03-27,0.212
2026-03-28,0.185
2026-03-29,0.198
2026-04-09,0.156
2026-04-18,0.135
2026-04-22,0.2145
2026-04-23,0.1635
2026-04-24,0.163
2026-04-25,0.149
2026-04-26,0.151
2026-04-27,0.18
2026-04-28,0.18
2026-04-29,0.1635
2026-04-30,0.242
