date,price
2025-10-30,0.395
2025-10-31,0.285
2025-11-01,0.265
2025-11-02,0.265
2025-11-03,0.255
2025-11-04,0.26
2025-11-05,0.265
2025-11-06,0.265
2025-11-07,0.265
2025-11-08,0.21
2025-11-09,0.115
2025-11-10,0.095
2025-11-11,0.075
2025-11-12,0.14
2025-11-13,0.17
2025-11-14,0.185
2025-11-15,0.175
2025-11-16,0.18
2025-11-17,0.175
2025-11-18,0.185
2025-11-19,0.185
2025-11-20,0.215
2025-11-21,0.195
2025-11-22,0.19
2025-11-23,0.185
2025-11-24,0.185
2025-11-25,0.19
2025-11-26,0.27
2025-11-27,0.28
2025-11-28,0.25
2025-11-29,0.3
2025-11-30,0.3
2025-12-01,0.3
2025-12-02,0.3
2025-12-03,0.3
2025-12-04,0.195
2025-12-05,0.24
2025-12-06,0.235
2025-12-07,0.235
2025-12-08,0.225
2025-12-09,0.17
2025-12-10,0.17
2025-12-11,0.17
2025-12-12,0.185
2025-12-13,0.21
2025-12-14,0.26
2025-12-15,0.255
2025-12-16,0.26
2025-12-17,0.26
2025-12-18,0.26
2025-12-19,0.255
2025-12-20,0.275
2025-12-21,0.28
2025-12-22,0.275
2025-12-23,0.285
2025-12-24,0.17
2025-12-25,0.1
2025-12-26,0.085
2025-12-27,0.08
2025-12-28,0.08
2025-12-29,0.08
2025-12-30,0.075
2025-12-31,0.08
2026-01-01,0.08
2026-01-02,0.065
2026-01-03,0.045
2026-01-04,0.04
2026-01-05,0.036
2026-01-06,0.055
2026-01-07,0.0585
2026-01-08,0.0565
2026-01-09,0.072
2026-01-10,0.086
2026-01-11,0.094
2026-01-12,0.0555
2026-01-13,0.0185
2026-01-14,0.0155
2026-01-15,0.0155
2026-01-16,0.015
2026-01-17,0.015
2026-01-18,0.0135
2026-01-19,0.005
2026-01-20,0.0045
2026-01-21,0.0035
2026-01-22,0.004
2026-01-23,0.004
2026-01-24,0.0045
2026-01-25,0.015
2026-01-26,0.0085
2026-01-27,0.0135
2026-01-28,0.013
2026-01-29,0.0125
2026-01-30,0.0125
2026-01-31,0.0125
2026-02-01,0.013
2026-02-02,0.0425
2026-02-03,0.0425
2026-02-04,0.0125
2026-02-05,0.0205
2026-02-06,0.0205
2026-02-07,0.036
2026-02-08,0.0355
2026-02-09,0.0155
2026-02-10,0.0305
2026-02-11,0.027
2026-02-12,0.0205
2026-02-13,0.017
2026-02-14,0.0215
2026-02-15,0.0195
2026-02-16,0.02
2026-02-17,0.02
2026-02-18,0.0215
2026-02-19,0.0075
2026-02-20,0.0245
